YMAY,ABX,Albury Airport,Albury,AU,-36.06779861,146.9579926,539,Australia/Sydney,Almaden 阿尔马登
KABY,ABY,Southwest Georgia Regional Airport,Albany,US,31.53549957,-84.19450378,197,America/New_York,Alps 阿尔卑斯山脉
EGPD,ABZ,Aberdeen Dyce Airport,Aberdeen,GB,57.20190048,-2.197779894,215,Europe/London,Alsaca 阿尔萨斯
MMAA,ACA,General Juan N Alvarez International Airport,Acapulco,MX,16.75709915,-99.7539978,16,America/Mexico_City,Altai 阿尔泰山脉
KACB,ACB,Antrim County Airport,Bellaire,US,44.98860168,-85.1984024,623,America/Detroit,Amazon 亚马孙河
DGAA,ACC,Kotoka International Airport,Accra,GH,5.6051898,-0.1667860001,205,Africa/Accra,America 美州; 美国之通称
SKAD,ACD,Alcides Fernandez Airport,Acandi,CO,8.51667,-77.3,50,America/Bogota,Amiens 亚眠
GCRR,ACE,Lanzarote Airport,Lanzarote Island,ES,28.94549942,-13.60519981,46,Atlantic/Canary,Amman 安曼
YBAF,ACF,Brisbane Archerfield Airport,Brisbane,AU,-27.57029915,153.0079956,63,Australia/Brisbane,Amritsar 阿姆利则
LSZR,ACH,St Gallen Altenrhein Airport,Altenrhein,CH,47.48500061,9.560770035,1306,Europe/Zurich,Amsterdam 阿姆斯特丹
EGJA,ACI,Alderney Airport,Saint Anne,GG,49.70610046,-2.214720011,290,Europe/London,"Amsterdam, ship canal 阿姆斯特丹运河"
VCCA,ACJ,Anuradhapura Air Force Base,Anuradhapura,LK,8.30148983,80.42790222,324,Asia/Colombo,Amu Darya 阿姆河
KACK,ACK,Nantucket Memorial Airport,Nantucket,US,41.25310135,-70.06020355,47,America/New_York,Anatolia 安纳托利亚
MMCC,ACN,Ciudad Acuna New International Airport,Ciudad Acuna,MX,29.33289909,-101.098999,1410,America/Matamoros,Anchorage 安克雷奇
OITM,ACP,Sahand Airport,Maragheh,IR,37.34799957,46.12789917,4396,Asia/Tehran,Ancohumia 安科乌马山
SKAC,ACR,Araracuara Airport,Araracuara,CO,-0.5833,-72.4083,1250,America/Bogota,Andalusia 安达卢西亚
UNKS,ACS,Achinsk Airport,Achinsk,RU,56.2682991,90.57080078,1033,Asia/Krasnoyarsk,Andaman 安达曼群岛/河
KACT,ACT,Waco Regional Airport,Waco,US,31.61129951,-97.23049927,516,America/Chicago,Andes 安第斯山脉
KACV,ACV,Arcata Airport,Arcata/Eureka,US,40.97809982,-124.1090012,221,America/Los_Angeles,Andizan (Andizhan) 安集延
ZUYI,ACX,Xingyi Airport,Xingyi,CN,25.08638889,104.9594444,4150,Asia/Chongqing,Andorra 安道尔
KACY,ACY,Atlantic City International Airport,Atlantic City,US,39.45759964,-74.57720184,75,America/New_York,Andorra la vella 安道尔
OIZB,ACZ,Zabol Airport,,IR,31.09830093,61.54389954,1628,Asia/Tehran,Andros 安德罗斯岛
LTAF,ADA,Adana Airport,Adana,TR,36.98220062,35.28039932,65,Europe/Istanbul,"Aneto, Pico de 阿内托峰"
LTBJ,ADB,Adnan Menderes International Airport,?zmir,TR,38.29240036,27.15699959,412,Europe/Istanbul,Angara 安加拉河
AYAN,ADC,Andakombe Airport,Andekombe,PG,-7.137222222,145.7447222,3600,Pacific/Port_Moresby,Angkor 吴哥
HAAB,ADD,Bole International Airport,Addis Ababa,ET,8.977890015,38.79930115,7630,Africa/Addis_Ababa,"Anglesey, Anglesea 安格尔西岛"
OYAA,ADE,Aden International Airport,Aden,YE,12.8295002,45.02880096,7,Asia/Aden,Angola 安哥拉
LTCP,ADF,Ad?yaman Airport,Ad?yaman,TR,37.73139954,38.46889877,2216,Europe/Istanbul,Anguilla 安圭拉岛
KADG,ADG,Lenawee County Airport,Adrian,US,41.86769867,-84.07730103,798,America/Detroit,Angus 安格斯
UEEA,ADH,Aldan Airport,Aldan,RU,58.60279846,125.4089966,2241,Asia/Yakutsk,Anhui 安徽
FYAR,ADI,Arandis Airport,Arandis,NA,-22.46220016,14.97999954,1905,Africa/Windhoek,Anjou 昂儒
OJAM,ADJ,Amman-Marka International Airport,Amman,JO,31.97270012,35.99160004,2555,Asia/Amman,Ankara 安卡拉
